2.12717,19.2685,470.109,51.8982
1.93937,17.3699,515.631,57.5709
1.90486,10.7997,524.973,92.5952
2.00482,13.3604,498.797,74.8481
2.256,15.5437,443.263,64.3347
2.17507,15.1601,459.756,65.9626
1.86302,6.9015,536.764,144.896
1.84716,8.7699,541.373,114.026
1.8107,5.3258,552.273,187.765
1.8597,12.8437,537.722,77.8592
1.80819,6.2753,553.039,159.355
1.79767,6.3173,556.274,158.295
1.89477,13.1593,527.769,75.9919
2.11638,19.0998,472.506,52.3566
2.32175,18.4255,430.709,54.2726
1.98053,12.8299,504.915,77.9429
1.95822,8.7371,510.667,114.454
